     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV
    3.544000e+02   -8.056600e-01    2.634500e+00    4.750734e-04    4.903203e-04    5.055734e-04    2.591707e+00    2.594823e+00    2.597938e+00    8.495951e-01    1.504050e-01    9.580281e-13    1.842412e+03    1.639438e-01    6.498783e-01    1.574281e-03
    3.543000e+02    3.119000e-02    2.613800e+00    4.788485e-04    4.941607e-04    5.094799e-04    2.590909e+00    2.594038e+00    2.597167e+00    8.484170e-01    1.515830e-01    1.035278e-12    1.860039e+03    1.678602e-01    9.422345e-04    3.905306e-04
    3.542000e+02    1.043320e+00    2.624800e+00    4.826496e-04    4.980270e-04    5.134124e-04    2.590106e+00    2.593248e+00    2.596390e+00    8.472310e-01    1.527689e-01    1.119168e-12    1.877846e+03    1.718725e-01    1.087478e+00    9.955137e-04
    3.541000e+02   -2.753000e-01    2.616200e+00    4.864765e-04    5.019192e-04    5.173709e-04    2.589297e+00    2.592453e+00    2.595609e+00    8.460371e-01    1.539629e-01    1.209157e-12    1.895833e+03    1.759830e-01    7.606670e-02    5.639189e-04
    3.540000e+02   -4.034600e-01    2.615300e+00    4.903299e-04    5.058375e-04    5.213553e-04    2.588484e+00    2.591652e+00    2.594821e+00    8.448352e-01    1.551648e-01    1.307141e-12    1.914002e+03    1.801942e-01    1.631884e-01    5.592047e-04
    3.539000e+02    1.031430e+00    2.617200e+00    4.942096e-04    5.097818e-04    5.253658e-04    2.587664e+00    2.590847e+00    2.594029e+00    8.436253e-01    1.563747e-01    1.412309e-12    1.932357e+03    1.845087e-01    1.062796e+00    6.945006e-04
    3.538000e+02    7.059900e-01    2.620400e+00    4.981045e-04    5.137524e-04    5.293887e-04    2.586840e+00    2.590035e+00    2.593231e+00    8.424073e-01    1.575927e-01    1.526286e-12    1.950897e+03    1.889290e-01    4.976967e-01    9.220091e-04
    3.537000e+02   -7.242300e-01    2.627100e+00    5.020369e-04    5.177493e-04    5.334523e-04    2.586010e+00    2.589219e+00    2.592427e+00    8.411813e-01    1.588187e-01    1.649614e-12    1.969627e+03    1.934577e-01    5.252593e-01    1.434985e-03
    3.536000e+02   -1.188170e+00    2.624100e+00    5.059963e-04    5.217726e-04    5.375420e-04    2.585175e+00    2.588397e+00    2.591619e+00    8.399472e-01    1.600528e-01    1.782022e-12    1.988546e+03    1.980977e-01    1.412988e+00    1.274718e-03
    3.535000e+02    3.757900e-01    2.615200e+00    5.099824e-04    5.258223e-04    5.416582e-04    2.584334e+00    2.587569e+00    2.590805e+00    8.387049e-01    1.612951e-01    1.925543e-12    2.007659e+03    2.028517e-01    1.408232e-01    7.634489e-04
    3.534000e+02   -2.035500e-01    2.612200e+00    5.139950e-04    5.298986e-04    5.458013e-04    2.583488e+00    2.586737e+00    2.589985e+00    8.374546e-01    1.625455e-01    2.079906e-12    2.026966e+03    2.077226e-01    4.164860e-02    6.483846e-04
    3.533000e+02    1.467000e-01    2.619000e+00    5.180383e-04    5.340015e-04    5.499647e-04    2.582637e+00    2.585898e+00    2.589160e+00    8.361960e-01    1.638040e-01    2.246874e-12    2.046469e+03    2.127133e-01    2.136450e-02    1.095720e-03
    3.532000e+02   -1.403470e+00    2.616800e+00    5.221040e-04    5.381311e-04    5.541582e-04    2.581780e+00    2.585055e+00    2.588329e+00    8.349292e-01    1.650707e-01    2.427529e-12    2.066172e+03    2.178268e-01    1.971239e+00    1.007769e-03
    3.531000e+02    1.437030e+00    2.603700e+00    5.261964e-04    5.422875e-04    5.583787e-04    2.580918e+00    2.584205e+00    2.587493e+00    8.336543e-01    1.663457e-01    2.621736e-12    2.086076e+03    2.230662e-01    2.063497e+00    3.800378e-04
    3.530000e+02   -4.033000e-01    2.625500e+00    5.303159e-04    5.464708e-04    5.626257e-04    2.580050e+00    2.583351e+00    2.586651e+00    8.323711e-01    1.676289e-01    2.831801e-12    2.106183e+03    2.284348e-01    1.630920e-01    1.776558e-03
    3.529000e+02    1.046310e+00    2.608600e+00    5.344625e-04    5.506810e-04    5.668995e-04    2.579177e+00    2.582491e+00    2.585804e+00    8.310796e-01    1.689204e-01    3.058805e-12    2.126495e+03    2.339357e-01    1.093613e+00    6.817017e-04
    3.528000e+02   -4.908400e-01    2.619700e+00    5.386364e-04    5.549183e-04    5.712002e-04    2.578298e+00    2.581625e+00    2.584951e+00    8.297799e-01    1.702201e-01    3.303293e-12    2.147015e+03    2.395723e-01    2.414690e-01    1.449715e-03
