     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV      ResidualFL
    3.582000e+02   -2.534290e-01    2.678700e-01    9.093600e-03    3.957122e-06    4.132804e-06    4.303411e-06    2.651333e-01    2.651666e-01    2.651999e-01    2.582350e-03    2.689809e-03    2.797267e-03    9.873227e-01    1.267731e-02    1.694066e-16    1.288104e+03    6.750444e-02    6.422835e-02    7.308407e-06    4.100854e-05
    3.581000e+02   -3.694240e-01    2.680300e-01    9.095000e-03    4.004572e-06    4.170890e-06    4.337209e-06    2.651254e-01    2.651589e-01    2.651925e-01    2.606352e-03    2.714597e-03    2.822842e-03    9.872059e-01    1.279414e-02    0.000000e+00    1.300167e+03    6.908260e-02    1.364772e-01    8.243140e-06    4.070954e-05
    3.580000e+02   -1.733660e-01    2.679300e-01    9.053700e-03    4.041815e-06    4.209343e-06    4.376871e-06    2.651174e-01    2.651512e-01    2.651849e-01    2.630587e-03    2.739624e-03    2.848661e-03    9.870879e-01    1.291210e-02    0.000000e+00    1.312350e+03    7.069857e-02    3.005723e-02    7.721958e-06    3.986756e-05
    3.579000e+02    1.254060e-01    2.686600e-01    9.086100e-03    4.079416e-06    4.248167e-06    4.416917e-06    2.651093e-01    2.651433e-01    2.651774e-01    2.655057e-03    2.764892e-03    2.874726e-03    9.869688e-01    1.303119e-02   -1.694066e-16    1.324654e+03    7.235328e-02    1.572560e-02    1.236697e-05    3.995767e-05
    3.578000e+02    9.039600e-02    2.683600e-01    9.694100e-03    4.117380e-06    4.287364e-06    4.457348e-06    2.651012e-01    2.651354e-01    2.651697e-01    2.679766e-03    2.790403e-03    2.901041e-03    9.868486e-01    1.315142e-02    0.000000e+00    1.337080e+03    7.404767e-02    8.170662e-03    1.039788e-05    4.766103e-05
    3.577000e+02   -1.312160e-01    2.681100e-01    9.036300e-03    4.155689e-06    4.326940e-06    4.498190e-06    2.650929e-01    2.651274e-01    2.651620e-01    2.704714e-03    2.816161e-03    2.927608e-03    9.867272e-01    1.327282e-02    1.694066e-16    1.349629e+03    7.578272e-02    1.721877e-02    8.895636e-06    3.869013e-05
    3.576000e+02   -1.794600e-01    2.671800e-01    8.913700e-03    4.194400e-06    4.366897e-06    4.539393e-06    2.650846e-01    2.651194e-01    2.651542e-01    2.729905e-03    2.842167e-03    2.954429e-03    9.866046e-01    1.339539e-02    1.694066e-16    1.362304e+03    7.755943e-02    3.220746e-02    4.246125e-06    3.686352e-05
    3.575000e+02   -6.791700e-02    2.676300e-01    9.209800e-03    4.233483e-06    4.407239e-06    4.580996e-06    2.650762e-01    2.651113e-01    2.651463e-01    2.755341e-03    2.868423e-03    2.981506e-03    9.864809e-01    1.351914e-02   -1.694066e-16    1.375104e+03    7.937883e-02    4.613318e-03    6.344092e-06    4.021306e-05
    3.574000e+02   -1.869780e-01    2.685100e-01    8.414000e-03    4.272947e-06    4.447971e-06    4.622995e-06    2.650677e-01    2.651030e-01    2.651383e-01    2.781024e-03    2.894933e-03    3.008842e-03    9.863559e-01    1.364408e-02    3.388132e-16    1.388033e+03    8.124195e-02    3.496244e-02    1.160739e-05    3.046010e-05
    3.573000e+02   -1.308600e-02    2.677500e-01    9.275300e-03    4.312779e-06    4.489096e-06    4.665412e-06    2.650592e-01    2.650947e-01    2.651303e-01    2.806957e-03    2.921699e-03    3.036440e-03    9.862298e-01    1.377023e-02    0.000000e+00    1.401090e+03    8.314989e-02    1.713609e-04    7.050379e-06    4.036825e-05
